Song Name,Book,Page Number,Pages
Smoke-on-the-Water,,,
Smok-Gets-In-Your-Eyes,2,329,1
Softly-as-in-a-Morning-Sunrise,2,330,1
Solid,,,
Somebody-Stole-My-Gal,,,
Someday-My-Prince-Will-Come,1,388,1
Someday,,,
Someday-Youll-Want-Me-to-Want-You,,,
Sometime-Ago,1,392,1
Some-of-these-days,,,
Sophisticated-Lady,,,
Soul-Bossa-Nova,,,
Soul-Eyes,2,333,1
So-Danco-Samba,,,
Spain,,,
Speak-Low,2,337,1
Splanky,,,
Stablemates,,,
Stardust,2,340,1
Stars-fell-on-Alabama,,,
Stella-by-Starlight,1,408,1
Stomin-At-The-Savoy,,,
Stormy-Weather,,,
Straighten-Up-And-Fly-Right,,,
Strangers-in-the-Night,,,
Stranger-On-The-Shore,,,
Struttin-With-Some-Barbecue,,,
St-Louis-Blues,,,
St-Thomas,,,
St-James-Infirmary,,,
Summertime,2,323,0.5
Summer-Samba,1,415,1
Sunny,,,
Sway,,,
Sweet-Georgia-Brown,2,353,1
Sweet-Lorraine,,,
Sweet-Sue-Just-You,,,
Swing-42,,,
Swing-That-Music,,,
Sposin,,,
Take-Five,1,420,1
Take-The-A-Train,1,421,1
Taking-A-Chance-On-Love,2,358,1
Teach-Me-Tonight,,,
Teaneck,,,
Tea-for-two,,,
Tenderly,2,362,1
That-Chicks-Too-Young-To-Fry,,,
Thats-All,,,
Theme-for-Ernie,,,
Them-There-Eyes,,,
Then-Ill-Be-Happy,,,
There-Is-No-Greater-Love,1,423,1
There-will-never-be-another-you,1,426,1
Therell-Be-Some-Changes-Made,,,
These-Foolish-Things,2,364,1
They-Call-It-Stormy-Monday,,,
They-Cant-Take-That-Away-From-Me,1,427,1
The-Christmas-Song,,,
The-Duke,,,
The-Girl-From-Ipanema,,,
The-Good-Life,,,
The-Gypsy,,,
The-Jody-Grind,,,
The-Lady-Is-a-Tramp,,,
The-man-I-love,,,
The-Man-That-Got-Away,,,
The-Nearness-Of-You,,,
The-Partys-Over,,,
The-Preacher,,,
The-Shadow-of-Your-Smile,,,
The-Shake-of-Araby,,,
The-Touch-of-Your-Lips,,,
The-Very-Thought-of-You,,,
The-Way-You-Look-Tonight,,,
The-world-is-waiting-for-the-sunrise,,,
The-World-We-Knew-Over-and-Over,,,
Things-Aint-What-They-Used-To-Be,2,365,1
This-Love-of-Mine,,,
This-Masquerade,,,
Three-OClock-in-the-Morning,,,
Till-There-Was-You,2,370,1
Too-Many-Tears,,,
Tombe-la-neige,,,
Toot-Toot-Tootsie-Goo-Bye,,,
Too-Many-Tears,,,
Triste,1,436,1
Tuxedo-Junction,,,
Twelfth-Street-Rag-20220715-221425,,,
Two-for-the-Road,,,
Undecided,,,
Une-vie-damour,,,
Unforgettable,,,
Un-homme-et-une-femme,,,
Up-A-Lazy-River,,,
Up-Jumped-Spring,1,440,1
Va-Bank,,,
Veja-Bem-Meu-Bem,,,
Virgo,1,444,1
Visa-fran-Utanmyra,,,
Volare,,,
Voyage,,,
Walkin-My-Baby-Back-Home,,,
Washington-Lee-Swing,,,
Watermelon-Man,,,
Wave,1,452,1
Way-down-yonder-in-new-orleans,,,
Well-You-Neednt,1,454,1
Whatever-Lola-wants,,,
What-Are-You-Doing-the-Rest-of-Your-Life,1,457,1
What-a-diffrence-a-day-made,,,
What-a-Wonderful-World,,,
What-Is-This-Thing-Called-Love,1,460,1
Whats-New,2,391,1
When-I-fall-in-love,1,461,1
When-I-Grow-Too-Old-To-Dream,,,
When-Sunny-Gets-Blue,1,462,1
When-the-Saints,,,
When-Will-the-Blues-Leave,,,
When-youre-smiling,,,
Wispering,,,
Whisper-Not,2,393,1
White-Christmas,,,
Who-Can-I-Turn-To,2,394,1
Who-walk-in-when-I-walk-out,,,
Whos-Sorry-Now,,,
Why-Dont-You-Do-Right,,,
Willie-the-weeper,,,
Willow-Weep-for-Me,2,396,1
Windows,1,466,2
Witchcraft,,,
Wolverine-blues,,,
Yardbird-Suite,2,401,1
Yesterdays,1,473,1
Yes-Sir,,,
You-Always-Hurt-The-One-You-Love,,,
You-Are-The-Sunshine-of-My-Life,1,474,1
You-Call-Everybody-Darling,,,
You-Can-Depend-On-Me,,,
You-Dont-Know-What-Love-Is,1,476,1
You-Made-Me-Love-You,,,
You-make-me-feel-so-young,,,
You-Took-Advantage-Of-Me,1,477,1
Youd-Be-So-Nice-to-Come-Home-To,2,403,0.5
Youve-Changed,,,
%D0%90-%D1%81%D0%BD%D0%B5%D0%B3-%D0%B8%D0%B4%D1%91%D1%82,,,
Bombardirovshiki,,,
V-parke-Chair,,,
%D0%92%D0%B0%D0%BB%D1%8C%D1%81-%D1%80%D0%B0%D1%81%D1%81%D1%82%D0%B0%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F,,,
%D0%92%D0%B5%D1%81%D0%BD%D0%B0-%D0%B8%D0%B4%D1%91%D1%82,,,
Vse-stalo-vokrug-golubim-i-zelenim,,,
Gadalka,,,
%D0%93%D0%B4%D0%B5-%D0%B6%D0%B5-%D0%B2%D1%8B-%D1%82%D0%B5%D0%BF%D0%B5%D1%80%D1%8C-%D0%B4%D1%80%D1%83%D0%B7%D1%8C%D1%8F-%D0%BE%D0%B4%D0%BD%D0%BE%D0%BF%D0%BE%D0%BB%D1%87%D0%B0%D0%BD%D0%B5,,,
%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%BE%D0%B5-%D1%80%D0%B5%D0%B1%D1%8F%D1%82%D0%B0-%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%D0%BC-%D0%BD%D0%B5-%D1%81%D1%82%D0%B0%D1%80%D0%B5%D1%82%D1%8C,,,
Gori-gori-moya-zvezda,,,
John-Grey,,,
Dorogie-Moi-Moskvichi,,,
